MP name,Nature of membership,Start of term,End of term,No. of Term,Standing Committee Membership,State,Constituency,Political party,Gender,Educational qualifications,Educational qualifications - details,Age,Debates,Private Member Bills,Questions,Attendance,Notes,National Debates average,National Private Member Bills average,National Questions average,National Attendance average,State's Debates average,State's Private Member Bills  average,State's Questions average,State's Attendance average
Anandrao Adsul,Elected,18-May-14,In office,Fifth,Chemicals & Fertilizers,Maharashtra,Amravati,Shiv Sena,Male,Graduate,"B.Com.; Educated at Shivaji University, Kolhapur, Maharashtra",69,36,2,629,87%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,44.4,2.6,371,79%
Anant Gangaram Geete,Elected,18-May-14,In office,Sixth,No,Maharashtra,Raigad,Shiv Sena,Male,Matric,"Educated at Mumbai Board (Formerly Pune Board), Ratnagiri (Maharashtra) ",65,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation. They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Anant Kumar Hegde,Elected,18-May-14,In office,Fifth,External Affairs,Karnataka,Uttara Kannada,Bharatiya Janata Party,Male,Inter/ Higher Secondary,"Educated at M.M. Arts and Science College, Sirsi (Karnataka) ",48,0,0,206,96%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,35.2,0.3,246,84%
Ananth Kumar,Elected,18-May-14,In office,Sixth,No,Karnataka,Bangalore South,Bharatiya Janata Party,Male,Professional Graduate,"B.A., LL.B. (Spl.); Educated at K.S. Arts College and J.S.S. Law College, Karnataka University, Hubli (Karnataka) ",57,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation. They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Anbumani Ramadoss,Elected,18-May-14,In office,First,Rural Development ,Tamil Nadu,Dharmapuri,Pattali Makkal Katchi,Male,Professional Graduate,"M.B.B.S. Educated at Madras Medical College, Chennai (Tamil Nadu)",48,9,0,21,45%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,34.1,0,262,82%
Anil Shirole,Elected,18-May-14,In office,First,Finance,Maharashtra,Pune,Bharatiya Janata Party,Male,Graduate,B.A.,66,10,0,84,93%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,44.4,2.6,371,79%
Anirudhan Sampath,Elected,18-May-14,In office,Third,"Personnel, Public Grievances, Law and Justice",Kerala,Attingal,Communist Party of India (Marxist),Male,Professional Post Graduate,M.A. (Eco) L.L.M (Constt. Law),54,144,3,254,76%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,88.2,2.9,279,79%
Anju Bala,Elected,18-May-14,In office,First,Chemicals & Fertilizers,Uttar Pradesh,Misrikh,Bharatiya Janata Party,Female,Post Graduate,M.A. (Hindi and Sanskrit),37,93,0,1,98%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,71.6,1,116,88%
Anoop Mishra,Elected,18-May-14,In office,First,Health and Family Welfare,Madhya Pradesh,Morena,Bharatiya Janata Party,Male,Inter/ Higher Secondary,Inter/ Higher Secondary,60,6,0,156,50%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,52.8,0.7,171,82%
Anshul Verma,Elected,18-May-14,In office,First,"Personnel, Public Grievances, Law and Justice",Uttar Pradesh,Hardoi,Bharatiya Janata Party,Male,Post Graduate,"M.A., L.L.B.",42,19,0,38,91%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,71.6,1,116,88%
Anto Antony,Elected,18-May-14,In office,Second,"Food, Consumer Affairs & Public Distribution",Kerala,Pathanamthitta,Indian National Congress,Male,Graduate,"B.A.; Educated at St. Thomas College, Palai",59,59,1,454,78%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,88.2,2.9,279,79%
Anupam Hazra,Elected,18-May-14,In office,First,Information Technology,West Bengal,Bolpur,All India Trinamool Congress,Male,Doctorate,Ph.D. (Social Work),34,1,0,5,88%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,22.3,0.3,54,67%
Anupriya Singh Patel,Elected,18-May-14,In office,First,No,Uttar Pradesh,Mirzapur,Apna Dal,Female,Professional Post Graduate,M.B.A.,35,49,0,71,90%,"This MP was appointed a minister in July 2016. Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 11th May, 2016. (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.)",35,1,136,81%,51.6,0.7,82,88%
Anurag Singh Thakur,Elected,18-May-14,In office,Third,Information Technology,Himachal Pradesh,Hamirpur,Bharatiya Janata Party,Male,Graduate,"B.A.; Educated at Doaba College, Jalandhar, Punjab",42,47,3,304,92%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,27.8,0.8,122,91%
Aparupa Poddar (Afrin Ali),Elected,18-May-14,In office,First,Water Resources ,West Bengal,Arambagh,All India Trinamool Congress,Female,Post Graduate,"LLB, MA (English)",31,52,0,51,80%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,22.3,0.3,54,67%
Arjun Charan Sethi,Elected,18-May-14,In office,Eighth,Agriculture,Odisha,Bhadrak,Biju Janata Dal,Male,Post Graduate,"M.A.; Educated at K.C. Vidyamandir, Agarpada, Bhadrak College, University College , Vani Vihar, Bhubaneswar, Orissa",75,0,0,32,87%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,39.4,2.6,150,83%
Arjun Ram Meghwal,Elected,18-May-14,In office,Second,No,Rajasthan,Bikaner,Bharatiya Janata Party,Male,Post Graduate,"M.A. (Pol. Science); Educated at Sri Dungar College, Bikaner and University of Phillipine, Phillipines",63,92,16,336,98%,"This MP was appointed a minister in July 2016. Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 11th May, 2016. (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.)",35,1,136,81%,85.4,2.4,202,89%
Arjunlal Meena,Elected,18-May-14,In office,First,Health and Family Welfare,Rajasthan,Udaipur,Bharatiya Janata Party,Male,Post Graduate,"M.Com., B.Ed.",52,50,0,189,88%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,101.1,3,254,89%
Arka Keshari Deo,Elected,18-May-14,In office,First,External Affairs,Odisha,Kalahandi,Biju Janata Dal,Male,Graduate,B.A.,38,19,0,91,88%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,39.4,2.6,150,83%
Arpita Ghosh,Elected,18-May-14,In office,First,"Transport, Tourism and Culture",West Bengal,Balurghat,All India Trinamool Congress,Female,Graduate,B.Sc.,50,13,0,12,63%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,22.3,0.3,54,67%
Arun Kumar,Elected,18-May-14,In office,Second,Energy and Labour,Bihar,Jahanabad,Rashtriya Lok Samta Party,Male,Doctorate,"M.A., Ph.D. 
Educated at Patna University, Patna and Magadh University, Bodhgaya (Bihar)",57,48,0,48,84%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,40.5,2.1,124,87%
Arvind Sawant,Elected,18-May-14,In office,First,Petroleum & Natural Gas,Maharashtra,Mumbai-South,Shiv Sena,Male,Graduate,B.Sc.,65,194,0,273,98%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,44.4,2.6,371,79%
Asaduddin Owaisi,Elected,18-May-14,In office,Third,Social Justice & Empowerment ,Telangana,Hyderabad,All India Majlis-E-Ittehadul Muslimmen,Male,Professional Graduate,"LL.B (London), Bar-At-Law (Lincolns Inn); Educated at Hyderabad Public School, St. Marys Junior College and Nizam College",47,43,0,530,85%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,27.8,1,194,71%
Ashok Gajapathi Raju Pusapati,Elected,18-May-14,In office,First,No,Andhra Pradesh,Vizianagaram,Telugu Desam Party,Male,Matric,Matric,65,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation. They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ashok Kumar Doharey,Elected,18-May-14,In office,First,Labour ,Uttar Pradesh,Etawah,Bharatiya Janata Party,Male,Graduate,B.A.,46,2,0,0,77%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,71.6,1,116,88%
Ashok Mahadeorao Nete,Elected,18-May-14,In office,First,Petroleum & Natural Gas,Maharashtra,Gadchiroli-Chimur,Bharatiya Janata Party,Male,Graduate,B.A.,48,25,4,351,73%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,44.4,2.6,371,79%
Ashok Shankarrao Chavan,Elected,18-May-14,In office,Second,Urban Development,Maharashtra,Nanded,Indian National Congress,Male,Professional Graduate,"B.Sc., M.B.A.",58,7,0,527,46%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,44.4,2.6,371,79%
Ashwini Kumar,Elected,18-May-14,In office,First,Home Affairs,Haryana,Karnal,Bharatiya Janata Party,Male,Professional Graduate,"B.Com, Degree in Journalism",60,4,0,268,57%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,43.1,2.3,170,87%
Ashwini Kumar Choubey,Elected,18-May-14,In office,First,Energy,Bihar,Buxar,Bharatiya Janata Party,Male,Graduate,B.Sc.(Hons.) Zoology,64,148,1,119,92%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,40.5,2.1,124,87%
Asrarul Haque Mohammad,Elected,18-May-14,In office,Second,Industry,Bihar,Kishanganj,Indian National Congress,Male,Post Graduate,"Fazil (M.A.); Educated at Darul Uloom, Deoband, Uttar Pradesh",75,10,0,1,88%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,40.5,2.1,124,87%
Azmeera Seetaram Naik,Elected,18-May-14,In office,First,Social Justice & Empowerment ,Telangana,Mahabubabad,Telangana Rashtra Samithi,Male,Doctorate,"Educated at Kakatiya University, Warangal",59,14,0,108,71%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,27.8,1,194,71%
B. S. Yeddyurappa,Elected,18-May-14,In office,First,Agriculture,Karnataka,Shimoga,Bharatiya Janata Party,Male,Under Graduate,PUC.,74,14,0,144,83%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,35.2,0.3,246,84%
B. Senguttuvan,Elected,18-May-14,In office,First,Defence,Tamil Nadu,Vellore,All India Anna Dravida Munnetra Kazhagam,Male,Professional Post Graduate,"M.A., M.L.",60,33,0,308,88%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,34.1,0,262,82%
B. Sreeramulu,Elected,18-May-14,In office,First,Home Affairs,Karnataka,Bellary,Bharatiya Janata Party,Male,Graduate,B.A.,45,20,0,403,56%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,35.2,0.3,246,84%
B.N. Chandrappa,Elected,18-May-14,In office,First,Chemicals & Fertilizers,Karnataka,Chitradurga,Indian National Congress,Male,Post Graduate,M.A,61,42,0,212,91%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,35.2,0.3,246,84%
B.V. Nayak,Elected,18-May-14,In office,First,"Personnel, Public Grievances, Law and Justice",Karnataka,Raichur,Indian National Congress,Male,Professional Graduate,"B.Com., L.L.B.",50,9,0,466,70%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,35.2,0.3,246,84%
Babul Supriya Baral (Babul Supriyo),Elected,18-May-14,In office,First,No,West Bengal,Asansol,Bharatiya Janata Party,Male,Graduate,B.Com (Hons.),46,0,0,0,45%,"This MP was appointed a minister in Nov 2014. Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 14th Aug, 2014. (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.)",5.1,0.1,18,81%,3.3,0,8,67%
Babulal Chaudhary,Elected,18-May-14,In office,First,"Food, Consumer Affairs & Public Distribution",Uttar Pradesh,Fatehpur Sikri,Bharatiya Janata Party,Male,Inter/ Higher Secondary,Intermediate,68,12,0,25,95%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,71.6,1,116,88%
Badaruddoza Khan,Elected,18-May-14,In office,First,Agriculture,West Bengal,Murshidabad,Communist Party of India (Marxist),Male,Professional Graduate,"B.Sc., B.Ed.",62,111,0,219,90%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,22.3,0.3,54,67%
Badruddin Ajmal,Elected,18-May-14,In office,Second,"Science & Technology, Environment & Forests",Assam,Dhubri,All India United Democratic Front,Male,Post Graduate,"Fazil-e-Deoband (Masters in Islamic Theology and Arabic); Educated at Darul Uloom, Deoband, Uttar Pradesh",67,50,0,273,61%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,33.7,0.2,97,74%
Bahadur Singh Koli,Elected,18-May-14,In office,Second,Labour ,Rajasthan,Bharatpur,Bharatiya Janata Party,Male,Matric,Information not available,55,14,0,72,97%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,101.1,3,254,89%
Baijayant Jay Panda,Elected,18-May-14,In office,Second,Home Affairs,Odisha,Kendrapara,Biju Janata Dal,Male,Graduate,"Dual Degree Course in Engineering and Management in Communications; Educated at Michigan Technological University, U.S.A.",53,15,20,371,79%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,39.4,2.6,150,83%
Balabhadra Majhi,Elected,18-May-14,In office,First,Railways ,Odisha,Nabarangpur,Biju Janata Dal,Male,Professional Graduate,B.Sc. (Engineering),56,55,0,99,88%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,39.4,2.6,150,83%
Balka Suman,Elected,18-May-14,In office,First,Rural Development ,Telangana,Peddapalle,Telangana Rashtra Samithi,Male,Doctorate,"M.A., Ph.D.",33,7,0,145,55%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,27.8,1,194,71%
Bandaru Dattatreya,Elected,18-May-14,In office,Fourth,No,Telangana,Secunderabad,Bharatiya Janata Party,Male,Graduate,"B.Sc.Educated at Osmania University, Hyderabad (Andhra Pradesh)",69,3,0,12,85%,"This MP was appointed a minister in Nov 2014. Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 14th Aug, 2014. (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.)",5.1,0.1,18,81%,4,0,19,71%
Banshilal Mahto,Elected,18-May-14,In office,First,Coal & Steel,Chhattisgarh,Korba,Bharatiya Janata Party,Male,Professional Graduate,B.A.M.S.,76,21,0,228,81%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,17,0.1,125,84%
Bhagat Singh Koshyari,Elected,18-May-14,In office,First,Energy,Uttarakhand,Nainital-Udhamsingh Nagar,Bharatiya Janata Party,Male,Post Graduate,"M.A. (English) Educated at Almora College, Almora (Agra University)",74,11,0,10,88%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,32.2,3.6,91,90%
Bhagirath Prasad,Elected,18-May-14,In office,First,Human Resource Development,Madhya Pradesh,Bhind,Bharatiya Janata Party,Male,Doctorate,"M.A.,M.Phil.,Ph.D.,(JNU)",69,17,0,27,84%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,52.8,0.7,171,82%
Bhagwant Mann,Elected,18-May-14,In office,First,"Personnel, Public Grievances, Law and Justice",Punjab,Sangrur,Aam Aadmi Party,Male,Under Graduate,B.Com II Year,43,77,0,39,55%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,32.6,0.5,79,66%
Bhagwanth Khuba,Elected,18-May-14,In office,First,"Food, Consumer Affairs & Public Distribution",Karnataka,Bidar,Bharatiya Janata Party,Male,Professional Graduate,BE (Mech.),49,9,0,241,81%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,35.2,0.3,246,84%
Bhairon Prasad Mishra,Elected,18-May-14,In office,First,Human Resource Development,Uttar Pradesh,Banda,Bharatiya Janata Party,Male,Inter/ Higher Secondary,Intermediate,62,1232,8,342,100%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,71.6,1,116,88%
Bhanu Pratap Singh Verma,Elected,18-May-14,In office,Fourth,Energy,Uttar Pradesh,Jalaun,Bharatiya Janata Party,Male,Post Graduate,"M.A., L.L.B. 
Edcated at Bundelkhand University, Jhansi (Uttar Pradesh)",59,83,0,71,96%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,71.6,1,116,88%
Bharat Singh,Elected,18-May-14,In office,First,Health and Family Welfare,Uttar Pradesh,Ballia,Bharatiya Janata Party,Male,Graduate,B.A.,68,42,0,243,93%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,71.6,1,116,88%
Bharatendra Singh,Elected,18-May-14,In office,First,Social Justice & Empowerment ,Uttar Pradesh,Bijnor,Bharatiya Janata Party,Male,Post Graduate,Post-Graduate,53,15,0,169,88%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,71.6,1,116,88%
Bharatiben Dhirubhai Shiyal,Elected,18-May-14,In office,First,Information Technology,Gujarat,Bhavnagar,Bharatiya Janata Party,Female,Professional Graduate,B.A.M.S.,52,23,0,76,95%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,28.4,1.8,168,84%
Bhartruhari Mahtab,Elected,18-May-14,In office,Fifth,Finance,Odisha,Cuttack,Biju Janata Dal,Male,Post Graduate,"M.A. (English); Educated at Utkal University, (Orissa) ",59,167,18,376,93%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,39.4,2.6,150,83%
Bhavana Pundlikrao Gawali Patil,Elected,18-May-14,In office,Fourth,Human Resource Development,Maharashtra,Yavatmal-Washim,Shiv Sena,Female,Graduate,"B.A. (Marathi); Educated at Amravati University, Amravati (Maharashtra) ",43,25,0,169,76%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,44.4,2.6,371,79%
Bheemrao B. Patil,Elected,18-May-14,In office,First,Home Affairs,Telangana,Zahirabad,Telangana Rashtra Samithi,Male,Graduate,B.Sc. (Agriculture),61,28,0,296,79%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,27.8,1,194,71%
