MP name,Nature of membership,Start of term,End of term,No. of Term,Standing Committee Membership,State,Constituency,Political party,Gender,Educational qualifications,Educational qualifications - details,Age,Debates,Private Member Bills,Questions,Attendance,Notes,National Debates average,National Private Member Bills average,National Questions average,National Attendance average,State's Debates average,State's Private Member Bills  average,State's Questions average,State's Attendance average
Aayanur Manjunath,Elected,1-Jul-10,30/06/2016,First Term,Labour ,Karnataka,,Bharatiya Janata Party,Male,Professional Graduate,"B.A., L.L.B.; Educated at Sahyadri College and National College of Law, Shimoga",61,4,0,388,78%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),65,1.2,333,78%,40,1.3,269,70%
Abani Roy,Elected,19-Aug-05,18/08/2011,Third Term,No,West Bengal,,Revolutionary Socialist Party,Male,Inter/ Higher Secondary,"Intermediate (in Science) Educated at Raisina Bengali Higher Secondary School, New Delhi and City-College, Ram Mohan Roy Sarani, Kolkata ",78,9,0,0,88%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),18.4,0.6,141,78%,29.9,0.4,104,74%
Abdul Wahab Peevee,Elected,23-Apr-15,In office,Second Term,Chemicals & Fertilizers,Kerala,,Indian Union Muslim League,Male,Graduate,"Educated at Government Manavedan High School, Nilambur and MES College, Mampad, Kerala",66,8,0,92,41%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),36.1,0.7,171,78%,37.7,0.3,214,71%
Abhishek Manu Singhvi,Elected,4-Apr-12,In office,Second Term,Defence,Rajasthan,,Indian National Congress,Male,Doctorate,"B.A.(Hons.), M.A., Ph.D., PIL Educated at St. Columba's School, Delhi, St. Stephen's College, Delhi University, Trinity College, University of Cambridge, U.K. and Havard University, U.S.A. ",58,12,1,25,47%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),85.4,1.8,453,78%,79.9,0.9,540,84%
Ahmad Hassan,Elected,3-Apr-14,In office,First Term,Social Justice & Empowerment ,West Bengal,,All India Trinamool Congress,Male,Inter/ Higher Secondary,"Higher Seconday, Educated at Malnady Primary School, Jalpaiguri and Banarhat High School, Jalpaiguri, West Bengal",64,28,0,2,75%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),45.4,0.8,163,78%,69.7,1.8,147,74%
Ahmad Saeed Malihabadi,Elected,3-Apr-08,02/04/2014,First Term,No,West Bengal,,Independent,Male,Graduate,"After school completed education at Madrasah Islah and Darul Musanafeen (Shibli Academy), Azamagarh",86,25,0,35,93%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),40,1,291,78%,59.8,0.6,168,74%
Ahmed Patel,Elected,19-Aug-11,In office,Fourth Term,Petroleum & Natural Gas,Gujarat,,Indian National Congress,Male,Graduate,"B.Sc. Educated at Shree Jayendra Puri Arts and Science College, Bharuch (South Gujarat University) and M.S. University, Baroda ",67,19,3,200,73%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),85.4,1.8,453,78%,51.4,2.7,401,79%
Ajay Sancheti,Elected,3-Apr-12,In office,First Term,Finance and Urban Development,Maharashtra,,Bharatiya Janata Party,Male,Graduate,B.Com. Educated at Nagpur University,51,23,0,294,69%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),61.5,1.1,272,78%,62.3,3.2,458,76%
Ajay Singh Chautala,Elected,8-Feb-04,02/11/2009,First Term,No,Haryana,,Indian National Lok Dal,Male,Post Graduate,"B.A., M.A., LL.B. Educated at Government College, Hissar and Rajasthan University, Jaipur (Rajasthan)",56,0,0,9,53%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),4.3,0.1,25,78%,5.8,0,12,87%
Akhilesh Das Gupta,Elected,26-Nov-08,25/11/2014,Third Term,No,Uttar Pradesh,,Bahujan Samaj Party,Male,Doctorate,"M.B.A., LL.B., D.P.A. (Diploma in Public Administration), Ph.D. on 'Human Resources Management in Public Sector Undertakings' Educated at Colvin Taluqdars' College, Allahabad University, Lucknow University and Agra University ",55,7,17,12,63%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),46.7,1.1,314,78%,43.1,1.7,230,82%
Ali Anwar Ansari,Elected,3-Apr-12,In office,Second Term,Coal & Steel,Bihar,,Janata Dal (United),Male,Graduate,"Graduate, Educated at D.K.College, Dumraon and M.V.College, Buxar (Bihar) ",63,203,0,91,81%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),85.4,1.8,453,78%,113.9,0.1,446,80%
Alka Balram Kshatriya,Elected,10-Apr-08,09/04/2014,Second Term,No,Gujarat,,Indian National Congress,Female,Post Graduate,"B.Com., LL.B., M.Com., LL.M. (Commercial Law), Diploma in Labour Laws and Practice (D.L.P.), Diploma in Taxation Practice (D.T.P.) Educated at Gujarat University, Ahmedabad and North Gujarat University, Mahesana ",57,17,0,165,93%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),40,1,291,78%,31.5,0.8,279,79%
Alok Tiwari,Elected,19-Jun-12,In office,First Term,Railways ,Uttar Pradesh,,Samajwadi Party,Male,Graduate,Graduate Educated at University of Delhi,44,98,0,273,96%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),57.6,1,255,78%,69.1,0.7,226,82%
Amar Shankar Sable,Elected,16-Mar-15,In office,First Term,"Food, Consumer Affairs & Public Distribution and Labour",Maharashtra,,Bharatiya Janata Party,Male,Graduate,"B.A., Diploma in Journalism",49,7,0,122,88%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),29.3,0.5,113,78%,28.4,1.7,185,76%
Amar Singh,Elected,5-Jul-16,In office,Fourth Term,External Affairs,Uttar Pradesh,,Independent,Male,Professional Graduate,"B.A., LL.B. Educated at St. Xavier's College and University College of Law, Kolkata ",61,19,0,165,44%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),57.1,1.3,357,78%,55.3,1.8,268,82%
Ambeth Rajan,Elected,5-Jul-10,04/07/2016,Second Term,No,Uttar Pradesh,,Bahujan Samaj Party,Male,Graduate,"B.Sc. II Educated at AVC College, Mayiladuthurai, Tamil Nadu ",61,65,0,695,98%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),65,1.2,333,78%,71.4,1.6,259,82%
Ambika Soni,Elected,5-Jul-16,In office,Fifth Term,Defence,Punjab,,Indian National Congress,Female,Graduate,"B.A. (Hons.), Diplome Superiore en Langue Francaise, Post-Graduate Diploma in Spanish Art and Literature Educated at Indraprastha College, Delhi University, Alliance Francaise, Bangkok and University of Havana, Cuba ",74,24,0,486,92%,"This MP was a minister. She tendered her resignation on 28th Oct, 2012. Ministers represent the government in debates, so we do not report their participation. Participation and attendance details for this MP are thus available only from 29th Oct, 2012. (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.)",75.3,1.4,376,78%,77.3,1,397,80%
Amir Alam Khan,Elected,13-Jun-06,04/07/2010,First Term,No,Uttar Pradesh,,Samajwadi Party,Male,Inter/ Higher Secondary,"Intermediate Educated at Islamia Inter College, Muzaffarnagar (Uttar Pradesh) ",58,3,0,186,44%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),10,0.3,77,78%,8.4,0.4,58,82%
Anand Sharma,Elected,3-Apr-16,In office,Fourth Term,"Personnel, Public Grievances, Law and Justice",Himachal Pradesh,,Indian National Congress,Male,Professional Graduate,"B.A., LL.B. Educated at R.P.C.S.D.B. College, Shimla and Faculty of Law, Himachal Pradesh University, Shimla ",64,144,0,160,92%,"This MP was a minister till 16th May 2014. Participation and attendance details for this MP are available from 9th June 2014. He has also been re-elected/nominated. During his previous term, this MP was an elecgted representative from Rajasthan; the term  (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.)",72.6,1.4,370,78%,90.3,0.1,406,90%
Ananda Bhaskar Rapolu,Elected,3-Apr-12,In office,Second Term,Water Resources ,Telangana,,Indian National Congress,Male,Post Graduate,"M.A. (Sociology) Educated at C.K.M. College, Warangal and Osmania University, Hyderabad",52,328,0,4,91%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),61.5,1.1,272,78%,120.9,0.6,481,77%
Anbumani Ramadoss (RS),Elected,30-Jun-04,29/06/2010,First Term,No,Tamil Nadu,,Pattali Makkal Katchi,Male,Professional Graduate,"M.B.B.S. Educated at Madras Medical College, Chennai (Tamil Nadu) ",48,2,0,0,15%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),10,0.3,77,78%,15.6,0.2,76,75%
Anil H. Lad,Elected,26-Jun-08,20/05/2013,First Term,No,Karnataka,,Indian National Congress,Male,Inter/ Higher Secondary,"Educated at Sandur Residential School, Sandur, Distt. Bellary, Karnataka ",43,4,0,26,59%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),33.8,1,260,78%,19.5,1.9,141,70%
Anil Kumar Sahani,Elected,3-Apr-12,In office,Second Term,Energy,Bihar,,Janata Dal (United),Male,Post Graduate,"LL.B., M.A.; Educated at Baba Saheb Bhimrao Ambedkar Bihar University, Muzaffarpur (Bihar)",53,104,0,522,84%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),78.4,1.6,404,78%,105.6,0.1,391,80%
Anil Madhav Dave,Elected,30-Jun-16,In office,Third Term,No,Madhya Pradesh,,Bharatiya Janata Party,Male,Post Graduate,"M.Com. Educated at Gujarati College, Indore, Madhya Pradesh ",60,68,0,399,76%,"This MP was appointed a minister in July 2016. Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 11th May, 2016. (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.)",71.3,1.5,388,78%,70.7,1.7,482,84%
Anil Yeshwant Desai,Elected,3-Apr-12,In office,First Term,Urban Development,Maharashtra,,Shiv Sena,Male,Professional Graduate,"B.Com, LL. B. Educated at Mumbai University, Mu",59,88,0,410,85%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),61.5,1.1,272,78%,62.3,3.2,458,76%
Anu Aga,Nominated,27-Apr-12,In office,First Term,"Personnel, Public Grievances, Law and Justice",,,Independent,Female,Post Graduate,"B.A.(Eco) from St Xavier's College, Mumbai, and post graduation in medical and psychiatric social work from the TISS, Mumbai. Also had been a Fulbright Scholar and studied in the United States for four months.",74,13,0,0,69%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),61.4,1.1,270,78%,27.2,0.6,60,72%
Anubhav Mohanty,Elected,13-Jun-14,In office,First Term,Human Resource Development,Odisha,,Biju Janata Dal,Male,Graduate,B.Com.,35,31,2,269,73%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),45.2,0.8,163,78%,47.6,0.2,215,77%
Anusuiya Uikey,Elected,3-Apr-06,02/04/2012,First Term,No,Madhya Pradesh,,Bharatiya Janata Party,Female,Post Graduate,"M.A. (Economics), LL.B. (II year)",59,48,0,249,90%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),23.9,0.6,181,78%,24.9,0.6,211,84%
Arjun Kumar Sengupta,Elected,19-Aug-05,26/09/2010,First Term,No,West Bengal,,Independent,Male,Doctorate,"B.A., M.A., Ph.D. (Economics) Educated at Mitra Institution, Bhavanipur, Kolkata, Presidency College, University of Calcutta, Kolkata and Massachusetts Institute of Technology (MIT), USA ",79,7,0,0,61%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),13.6,0.4,97,78%,22.9,0.3,70,74%
Arjun Singh,Elected,3-Apr-06,04/03/2011,Second Term,No,Madhya Pradesh,,Indian National Congress,Male,Professional Graduate,"B.A., LL.B. Educated at Allahabad University and Agra University ",86,1,0,0,22%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),14.8,0.5,123,78%,11.5,0.3,131,84%
Arun Jaitley,Elected,3-Apr-12,In office,Third Term,No,Gujarat,,Bharatiya Janata Party,Male,Professional Graduate,"B.Com. (Hons.), LL.B. Educated at Sri Ram College of Commerce, University of Delhi and Faculty of Law, University of Delhi ",64,105,0,0,N/A,"This MP was a leader of Opposition till May 2014 and became a minister in May 2014. LoP does not sign the attendance register. Participation details for this MP are thus available only till 21st Feb, 2014. (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.)",40,1,291,N/A,31.5,0.8,279,N/A
Arun Shourie,Elected,5-Jul-04,04/07/2010,Second Term,No,Uttar Pradesh,,Bharatiya Janata Party,Male,Doctorate,"Ph.D. (Economics), Educated at Modern School, New Delhi, St.Stephen's College, Delhi and University of Syracuse, U.S.A",75,3,0,0,61%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),10,0.3,77,78%,8.4,0.4,58,82%
Arvind Kumar,Elected,20-Apr-12,04/07/2016,First Term,"Science & Technology, Environment & Forests",Uttar Pradesh,,Samajwadi Party,Male,Post Graduate,"M.A., LL.B. Educated at Lucknow University, Lucknow",48,112,0,670,95%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),51.1,0.9,229,78%,59.4,0.7,194,82%
Ashk Ali Tak,Elected,5-Jul-10,04/07/2016,First Term,Industry,Rajasthan,,Indian National Congress,Male,Post Graduate,"M.A., Diploma in Indian Thought ; Educated at University of Rajasthan, Jaipur",58,16,0,351,94%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),65,1.2,333,78%,58.7,0.4,359,84%
Ashok S. Ganguly,Nominated,18-Nov-09,17/11/2015,First Term,Commerce,,,Independent,Male,Doctorate,"B.Sc., M.S., Ph.D. ; Educated at Master Tutorial High School, Mumbai, Jaihind College, Mumbai and University of Illinois, U.S.A.",81,69,0,4,69%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),57.9,1.2,346,78%,25.4,0.4,100,72%
Ashok Siddharth,Elected,5-Jul-16,In office,First Term,Health and Family Welfare,Uttar Pradesh,,Bahujan Samaj Party,Male,Post Graduate,"M.A. from Bundelkhand Degree College, Jhansi University and Diploma in Paramedical Ophthalmic Assistant, M.L.B. Medical College, Jhansi",52,3,0,0,77%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),10.4,0.2,44,78%,12.2,0.1,39,82%
Ashwani Kumar,Elected,10-Apr-10,09/04/2016,Third Term,Rural Development ,Punjab,,Indian National Congress,Male,Post Graduate,"B.A.(Hons.), LL.B., M.Phil. Educated at St. Stephen's College, Delhi; Faculty of Law, University of Delhi and Jawaharlal Nehru University, New Delhi ",64,26,0,0,90%,"This MP was a minister from Jan, 2011 to May, 2013. Ministers represent the government, so we do not report their participation. Participation and attendance details for this MP are thus not available for the above period. (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.)",61.7,1.3,335,78%,65.4,1,336,80%
Avinash Pande,Elected,5-Jul-10,04/07/2016,First Term,Coal & Steel,Maharashtra,,Indian National Congress,Male,Post Graduate,"B.Com, M.A. (Economics), M.A. (Public Administration) D.B.M., LL.B. ; Educated at Nagpur University, Nagpur",58,26,3,406,83%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),65,1.2,333,78%,68.4,3,564,76%
Avinash Rai Khanna,Elected,10-Apr-10,09/04/2016,First Term,Home Affairs,Punjab,,Bharatiya Janata Party,Male,Professional Graduate,"B.Com., LL.B., Diploma in Business Management ; Educated at D.A.V. College, Jalandhar and Panjab University, Chandigarh",56,145,5,588,92%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),61.7,1.3,335,78%,65.4,1,336,80%
Avtar Singh Karimpuri,Elected,26-Nov-08,25/11/2014,First Term,No,Uttar Pradesh,,Bahujan Samaj Party,Male,Graduate,"Intermediate, B.A. (Public Administration) (Part-II) Educated at Govt. High School, Kotranjha, (Punjab) and Annamalai University ",52,113,4,119,85%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),46.7,1.1,314,78%,43.1,1.7,230,82%
B. Jayashree,Nominated,22-Mar-10,21/03/2016,First Term,Health and Family Welfare,,,Independent,Female,Graduate,"Graduate ; Educated at National School of Drama, New Delhi",66,7,0,2,63%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),61.7,1.3,335,78%,28.8,0.5,96,72%
B. S. Gnanadesikan,Elected,25-Jul-07,24/07/2013,Second Term,No,Tamil Nadu,,Indian National Congress,Male,Professional Graduate,"B.A., B.L. Educated at Loyola College, Chennai and Dr. Ambedkar Law College, Chennai",68,22,0,200,54%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),33.8,1,260,78%,44.3,0.7,299,75%
B.B. Tiwari,Elected,3-Apr-12,25/04/2012,Second Term,No,Uttar Pradesh,,Samajwadi Party,Male,Professional Post Graduate,"B.A. M.A. (Pol. Sc.), LL.B. Educated at Shivpati Inter College, Shohratgarh, St. Andrew's College, Gorakhpur and Allahabad University, Allahabad",75,0,0,0,N/A, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),0,0,2,N/A,0,0,1,N/A
B.K. Hariprasad,Elected,22-Aug-13,In office,Fourth Term,Coal & Steel,Karnataka,,Indian National Congress,Male,Graduate,"B. Com. Educated at M.E.S.College, Bangalore University, Bangalore ",62,50,3,445,84%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),60.4,1.1,263,78%,34.2,1.7,243,70%
Baishnab Parida,Elected,2-Jul-10,01/07/2016,First Term,Home Affairs,Odisha,,Biju Janata Dal,Male,Post Graduate,"M.A., M.Phil ; Educated at University of Calcutta and Institute of Oriental Studies, Moscow",76,94,0,627,92%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),65,1.2,333,78%,86,0.7,350,77%
Balavant alias Bal Apte,Elected,3-Apr-06,02/04/2012,Second Term,No,Maharashtra,,Bharatiya Janata Party,Male,Post Graduate,"M.A., LL.M. Educated at University of Mumbai, Mumbai ",78,11,0,302,73%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),23.9,0.6,181,78%,28.8,0.7,279,76%
Balbir Punj,Elected,3-Apr-08,02/04/2014,Second Term,No,Odisha,,Bharatiya Janata Party,Male,Graduate,"B.A. (Hons.) Economics Educated at Rajdhani College, Delhi University, Delhi ",67,53,0,69,85%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),40,1,291,78%,55.1,0.5,259,77%
Balihari Babu,Elected,3-Apr-06,12/06/2009,First Term,No,Uttar Pradesh,,Samajwadi Party,Male,Inter/ Higher Secondary,"Intermediate Educated at Public Inter College, Shahganj, Jaunpur (Uttar Pradesh)",66,0,0,0,100%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),0.4,0,0,78%,0.3,0,0,82%
Balwinder Singh Bhunder,Elected,5-Jul-16,In office,Third Term,Water Resources ,Punjab,,Shiromani Akali Dal,Male,Graduate,"B.A. Educated at Government Rajindra College, Bhatinda",72,54,0,555,76%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),75.3,1.4,376,78%,77.3,1,397,80%
Barun Mukherji,Elected,18-Nov-08,02/04/2014,Second Term,No,West Bengal,,All India Forward Bloc,Male,Doctorate,"B.Sc., B.A., M.A., B. Lib. Sc., Ph.D. and P.G.D.B.M. Educated at Bansberia H. E. School, Bansberia, Distt. Hooghly (West Bengal), Hooghly Mohsin College, Chinsurah, Calcutta University and Institute of Modern Management, Calcutta ",84,47,0,15,87%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),40,1,291,78%,59.8,0.6,168,74%
Basawaraj Patil,Elected,3-Apr-12,In office,First Term,Human Resource Development,Karnataka,,Bharatiya Janata Party,Male,Graduate,"B.Sc. (Pt-I) Educated at Government Degree College, Gulbarga Honorary Doctorate from Gulbarga University, 2011",73,90,0,186,95%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),61.5,1.1,272,78%,40,1.2,272,70%
Bashistha Narain Singh,Elected,3-Apr-12,In office,Second Term,Railways ,Bihar,,Janata Dal (United),Male,Post Graduate,"M.A. (History) Educated at Patna University, Patna",69,6,0,48,78%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),61.5,1.1,272,78%,84.4,0.1,231,80%
Beni Prasad Verma,Elected,5-Jul-16,In office,First Term,No,Uttar Pradesh,,Indian National Congress,Male,Professional Graduate,"B.A., LL.B.; Educated at Lucknow University, Lucknow, Uttar Pradesh",76,0,0,0,87%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),10.4,0.2,44,78%,12.2,0.1,39,82%
Bhagat Singh Koshyari (RS),Elected,26-Nov-08,16/05/2014,First Term,No,Uttarakhand,,Bharatiya Janata Party,Male,Post Graduate,"M.A. (English) Educated at Almora College, Almora (Agra University) ",74,20,1,538,87%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),40,1,291,78%,66.2,2.1,602,91%
Bhagirathi Majhi,Elected,24-Mar-06,01/07/2010,First Term,No,Odisha,,Bharatiya Janata Party,Male,Graduate,"B.A. Educated at Sulaipat High School, Sulaipat and Keonjhar College, Utkal University (Orissa) ",63,2,0,55,94%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),10,0.3,77,78%,11.6,0,74,77%
Bhagwati Singh,Elected,5-Jul-04,04/07/2010,First Term,No,Uttar Pradesh,,Samajwadi Party,Male,Graduate,"B.A. Educated at Arjunpur, Sidholi, Sitapur and Lucknow University (Uttar Pradesh) ",83,3,0,43,92%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),10,0.3,77,78%,8.4,0.4,58,82%
Bhalchandra Mungekar,Nominated,22-Mar-10,21/03/2016,First Term,HRD,,,Indian National Congress,Male,Doctorate,"B.A.(Hons.) in Economics, M.A.(Economics) Ph.D. ; Educated at University of Mumbai",71,82,2,300,88%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),61.7,1.3,335,78%,28.8,0.5,96,72%
Bharatkumar Raut,Elected,3-Apr-08,02/04/2014,First Term,No,Maharashtra,,Shiv Sena,Male,Post Graduate,"M.A. (Politics) Educated at University of Bombay, Mumbai ",63,121,1,203,86%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),40,1,291,78%,48.6,1.3,465,76%
Bharatsinh Prabhatsinh Parmar,Elected,10-Apr-08,09/04/2014,First Term,No,Gujarat,,Bharatiya Janata Party,Male,Professional Graduate,"B. Com., LL.B. Educated at South Gujarat University, Bharuch (Gujarat)",58,18,0,405,66%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),40,1,291,78%,31.5,0.8,279,79%
Bhubaneswar Kalita,Elected,10-Apr-14,In office,Fourth Term,Petroleum & Natural Gas,Assam,,Indian National Congress,Male,Post Graduate,"M.A., LL.B. Educated at Rangia HS School, Rangia, Cotton College, Guwahati University and University Law College, Guwahati ",65,38,0,115,82%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),85.4,1.8,453,78%,73.6,0.6,369,83%
Bhupender Yadav,Elected,4-Apr-12,In office,First Term,Commerce,Rajasthan,,Bharatiya Janata Party,Male,Professional Graduate,"B.A. (Hons.), LL. B. Educated at Government College, Ajmer and Maharishi Dayanand University, Ajmer",47,59,3,220,79%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),61.5,1.1,272,78%,52.1,0.5,255,84%
Bhupinder Singh,Elected,26-Jun-14,01/07/2016,First Term,"Science & Technology, Environment & Forests",Odisha,,Biju Janata Dal,Male,Post Graduate,"B.A., M.A., LL.B. Educated at Government College, Bhawanipatna, Sambalpur University, Jyoti Vihar, Burla and Lala Lajpat Rai Law College, Sambalpur",65,139,0,237,95%, (Data corresponds to the period from 1 Jun 2009 to 15 Mar 2017.),34.8,0.6,119,78%,42.2,0.2,165,77%
